localization_ref,source_group,scene_id,text_id,evidence_methods,named_labels,named_label_maps
Ambient_NW@G@ANY1,Ambient_NW,G,ANY1,NAMED_GNARL_LABEL,GNARL_GENERAL|GNARL_GENERAL_1,LM0A Netherworld.omp
Ambient_NW@G@ANY10,Ambient_NW,G,ANY10,NAMED_GNARL_LABEL,GNARL_GENERAL_10,LM0A Netherworld.omp
Ambient_NW@G@ANY2,Ambient_NW,G,ANY2,NAMED_GNARL_LABEL,GNARL_GENERAL_2,LM0A Netherworld.omp
Ambient_NW@G@ANY3,Ambient_NW,G,ANY3,NAMED_GNARL_LABEL,GNARL_GENERAL_3,LM0A Netherworld.omp
Ambient_NW@G@ANY4,Ambient_NW,G,ANY4,NAMED_GNARL_LABEL,GNARL_GENERAL_4,LM0A Netherworld.omp
Ambient_NW@G@ANY5,Ambient_NW,G,ANY5,NAMED_GNARL_LABEL,GNARL_GENERAL_5,LM0A Netherworld.omp
Ambient_NW@G@ANY6,Ambient_NW,G,ANY6,NAMED_GNARL_LABEL,GNARL_GENERAL_6,LM0A Netherworld.omp
Ambient_NW@G@ANY7,Ambient_NW,G,ANY7,NAMED_GNARL_LABEL,GNARL_GENERAL_7,LM0A Netherworld.omp
Ambient_NW@G@ANY8,Ambient_NW,G,ANY8,NAMED_GNARL_LABEL,GNARL_GENERAL_8,LM0A Netherworld.omp
Ambient_NW@G@ANY9,Ambient_NW,G,ANY9,NAMED_GNARL_LABEL,GNARL_GENERAL_9,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY1,Ambient_NW,PQJ,ANY1,NAMED_GNARL_LABEL,GNARL_JUNO_1,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY10,Ambient_NW,PQJ,ANY10,NAMED_GNARL_LABEL,GNARL_JUNO_10,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY2,Ambient_NW,PQJ,ANY2,NAMED_GNARL_LABEL,GNARL_JUNO_2,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY3,Ambient_NW,PQJ,ANY3,NAMED_GNARL_LABEL,GNARL_JUNO_3,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY4,Ambient_NW,PQJ,ANY4,NAMED_GNARL_LABEL,GNARL_JUNO_4,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY5,Ambient_NW,PQJ,ANY5,NAMED_GNARL_LABEL,GNARL_JUNO_5,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY6,Ambient_NW,PQJ,ANY6,NAMED_GNARL_LABEL,GNARL_JUNO_6,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY7,Ambient_NW,PQJ,ANY7,NAMED_GNARL_LABEL,GNARL_JUNO_7,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY8,Ambient_NW,PQJ,ANY8,NAMED_GNARL_LABEL,GNARL_JUNO_8,LM0A Netherworld.omp
Ambient_NW@PQJ@ANY9,Ambient_NW,PQJ,ANY9,NAMED_GNARL_LABEL,GNARL_JUNO_9,LM0A Netherworld.omp
Ambient_NW@PQK@ANY1,Ambient_NW,PQK,ANY1,NAMED_GNARL_LABEL,GNARL_KELDA_1,LM0A Netherworld.omp
Ambient_NW@PQK@ANY10,Ambient_NW,PQK,ANY10,NAMED_GNARL_LABEL,GNARL_KELDA_10,LM0A Netherworld.omp
Ambient_NW@PQK@ANY2,Ambient_NW,PQK,ANY2,NAMED_GNARL_LABEL,GNARL_KELDA_2,LM0A Netherworld.omp
Ambient_NW@PQK@ANY3,Ambient_NW,PQK,ANY3,NAMED_GNARL_LABEL,GNARL_KELDA_3,LM0A Netherworld.omp
Ambient_NW@PQK@ANY4,Ambient_NW,PQK,ANY4,NAMED_GNARL_LABEL,GNARL_KELDA_4,LM0A Netherworld.omp
Ambient_NW@PQK@ANY5,Ambient_NW,PQK,ANY5,NAMED_GNARL_LABEL,GNARL_KELDA_5,LM0A Netherworld.omp
Ambient_NW@PQK@ANY6,Ambient_NW,PQK,ANY6,NAMED_GNARL_LABEL,GNARL_KELDA_6,LM0A Netherworld.omp
Ambient_NW@PQK@ANY7,Ambient_NW,PQK,ANY7,NAMED_GNARL_LABEL,GNARL_KELDA_7,LM0A Netherworld.omp
Ambient_NW@PQK@ANY8,Ambient_NW,PQK,ANY8,NAMED_GNARL_LABEL,GNARL_KELDA_8,LM0A Netherworld.omp
Ambient_NW@PQK@ANY9,Ambient_NW,PQK,ANY9,NAMED_GNARL_LABEL,GNARL_KELDA_9,LM0A Netherworld.omp
Ambient_NW@PQDF@ANY1,Ambient_NW,PQDF,ANY1,NAMED_GNARL_LABEL,GNARL_DFAY_1,LM0A Netherworld.omp
