episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,2,1,"00:00:26,277","00:00:28,700",DANIEL MOLLOY,"Perused a few folklore anthologies,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.13; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,2,2,"00:00:28,750","00:00:31,480",LOUIS DE POINTE DU LAC,and now you're going to cross the ocean,uncertain,best contextual candidate from text-only sources,recognition_margin=1.10; no episode audio used,English,,ARMAND | SANTIAGO | DANIEL MOLLOY
S02E02,3,1,"00:00:31,530","00:00:34,190",LOUIS DE POINTE DU LAC,and take on a society of monsters.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.10; no episode audio used,English,,ARMAND | SANTIAGO | DANIEL MOLLOY
S02E02,4,1,"00:00:35,460","00:00:37,800",LOUIS DE POINTE DU LAC,"I've known exactly four vampires in my life,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,5,1,"00:00:37,850","00:00:39,610",LOUIS DE POINTE DU LAC,and you've all been the worst.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,6,1,"00:00:39,660","00:00:42,410",LOUIS DE POINTE DU LAC,I'm looking for one that ain't a goddamn bastard!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.09; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,7,1,"00:00:42,430","00:00:43,620",ARMAND,Parents named me Bruce.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,8,1,"00:00:43,670","00:00:46,610",LOUIS DE POINTE DU LAC,Sent about 20 of us over to a place called Copenhagen.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.74; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,9,1,"00:00:46,630","00:00:48,260",DANIEL MOLLOY,Don't start back with your books.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.97; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,10,1,"00:00:48,300","00:00:50,008",DANIEL MOLLOY,Your books are bullshit.,uncertain,best contextual candidate from text-only sources,recognition_margin=2.34; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,10,2,"00:00:48,300","00:00:50,008",LOUIS DE POINTE DU LAC,There's a vampire been here.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.25; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,11,1,"00:00:50,009","00:00:51,009",LOUIS DE POINTE DU LAC,Another crucifix.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,12,1,"00:00:52,760","00:00:54,000",ARMAND,Louis!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.46; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | CLAUDIA
S02E02,13,1,"00:00:54,580","00:00:55,810",LOUIS DE POINTE DU LAC,A woman vampire.,high,direct-address response context,,English,,
S02E02,14,1,"00:00:58,433","00:01:01,190",LOUIS DE POINTE DU LAC,The boy we met in San Francisco... he's still in there.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.75; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,15,1,"00:01:01,220","00:01:03,800",LOUIS DE POINTE DU LAC,We can have him saying what happened next in no time.,uncertain,best contextual candidate from text-only sources,recognition_margin=2.36; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,16,1,"00:01:03,850","00:01:06,025",LOUIS DE POINTE DU LAC,We're gonna find others like us.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.82; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,17,1,"00:01:07,540","00:01:09,900",LOUIS DE POINTE DU LAC,We can't be the only good ones out there.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.56; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,19,1,"00:01:58,960","00:02:03,270",LOUIS DE POINTE DU LAC,Paris... Hard to put it into words now.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.13; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,20,1,"00:02:03,320","00:02:05,050",LOUIS DE POINTE DU LAC,For what Paris means to me now,uncertain,best contextual candidate from text-only sources,recognition_margin=2.12; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,21,1,"00:02:05,100","00:02:07,520",LOUIS DE POINTE DU LAC,is very different from what it meant to me then.,uncertain,best contextual candidate from text-only sources,recognition_margin=2.12; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,22,1,"00:02:07,570","00:02:09,660",ARMAND,May I try?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,22,2,"00:02:07,570","00:02:09,660",LOUIS DE POINTE DU LAC,Please.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.56; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | ARMAND
S02E02,23,1,"00:02:09,710","00:02:12,780",ARMAND,Paris was an awakening for Louis.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,24,1,"00:02:12,830","00:02:14,500",LOUIS DE POINTE DU LAC,Paris was a hunger.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.45; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,25,1,"00:02:14,550","00:02:17,200",LOUIS DE POINTE DU LAC,Paris was many things in those days.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.33; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
